,2/3/2022,2/10/2022,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,9.7,,,,,,,,,,,,,,,,,,,,,
CDEC:AGP,,,,,,,,,,,,,,,,,,,,,,
CDEC:ALP,17,,,,,,,,,,,,,,,,,,,,,
CDEC:BCB,18.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BCH,5.6,,,,,,,,,,,,,,,,,,,,,
CDEC:BFL,9.2,,,,,,,,,,,,,,,,,,,,,
CDEC:BGP,12.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BIM,25.6,,,,,,,,,,,,,,,,,,,,,
CDEC:BKL,45.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BLA,5.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BLC,16.2,,,,,,,,,,,,,,,,,,,,,
CDEC:BLD,18,,,,,,,,,,,,,,,,,,,,,
CDEC:BLK,16.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BLS,16.7,,,,,,,,,,,,,,,,,,,,,
CDEC:BMW,15.3,,,,,,,,,,,,,,,,,,,,,
CDEC:BNK,14.5,,,,,,,,,,,,,,,,,,,,,
CDEC:BSK,15.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CDP,9,,,,,,,,,,,,,,,,,,,,,
CDEC:CHM,21.5,,,,,,,,,,,,,,,,,,,,,
CDEC:CHP,8.6,,,,,,,,,,,,,,,,,,,,,
CDEC:CRL,20.7,,,,,,,,,,,,,,,,,,,,,
CDEC:CSL,27.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CSV,11.1,,,,,,,,,,,,,,,,,,,,,
CDEC:CWD,8.4,,,,,,,,,,,,,,,,,,,,,
CDEC:CWF,3.2,,,,,,,,,,,,,,,,,,,,,
CDEC:CXS,17.2,,,,,,,,,,,,,,,,,,,,,
CDEC:DAN,16.2,,,,,,,,,,,,,,,,,,,,,
CDEC:DDM,13,,,,,,,,,,,,,,,,,,,,,
CDEC:DPO,20.2,,,,,,,,,,,,,,,,,,,,,
CDEC:DSS,18.2,,,,,,,,,,,,,,,,,,,,,
CDEC:EBB,17.3,,,,,,,,,,,,,,,,,,,,,
CDEC:EP5,28.1,,,,,,,,,,,,,,,,,,,,,
CDEC:FDC,20.9,,,,,,,,,,,,,,,,,,,,,
CDEC:FLL,8.2,,,,,,,,,,,,,,,,,,,,,
CDEC:FRN,,,,,,,,,,,,,,,,,,,,,,
CDEC:FRW,,,,,,,,,,,,,,,,,,,,,,
CDEC:GEM,23.4,,,,,,,,,,,,,,,,,,,,,
CDEC:GIN,12.1,,,,,,,,,,,,,,,,,,,,,
CDEC:GKS,16,,,,,,,,,,,,,,,,,,,,,
CDEC:GNF,6.6,,,,,,,,,,,,,,,,,,,,,
CDEC:GNL,20.8,,,,,,,,,,,,,,,,,,,,,
CDEC:GRM,0.8,,,,,,,,,,,,,,,,,,,,,
CDEC:GRV,20.6,,,,,,,,,,,,,,,,,,,,,
CDEC:GRZ,19.2,,,,,,,,,,,,,,,,,,,,,
CDEC:HGM,13.1,,,,,,,,,,,,,,,,,,,,,
CDEC:HIG,13.2,,,,,,,,,,,,,,,,,,,,,
CDEC:HMB,22.9,,,,,,,,,,,,,,,,,,,,,
CDEC:HNT,12.7,,,,,,,,,,,,,,,,,,,,,
CDEC:HOR,13.4,,,,,,,,,,,,,,,,,,,,,
CDEC:HRK,16.6,,,,,,,,,,,,,,,,,,,,,
CDEC:HRS,,,,,,,,,,,,,,,,,,,,,,
CDEC:HVN,15.9,,,,,,,,,,,,,,,,,,,,,
CDEC:HYS,19.8,,,,,,,,,,,,,,,,,,,,,
CDEC:IDC,17.7,,,,,,,,,,,,,,,,,,,,,
CDEC:IDP,33.3,,,,,,,,,,,,,,,,,,,,,
CDEC:INN,10,,,,,,,,,,,,,,,,,,,,,
CDEC:KTL,4.4,,,,,,,,,,,,,,,,,,,,,
CDEC:LBD,9.1,,,,,,,,,,,,,,,,,,,,,
CDEC:LLP,54.5,,,,,,,,,,,,,,,,,,,,,
CDEC:LVM,8.2,,,,,,,,,,,,,,,,,,,,,
CDEC:LVT,36.3,,,,,,,,,,,,,,,,,,,,,
CDEC:MDW,32.4,,,,,,,,,,,,,,,,,,,,,
CDEC:MED,13.4,,,,,,,,,,,,,,,,,,,,,
CDEC:MHP,28.8,,,,,,,,,,,,,,,,,,,,,
CDEC:MNT,10.6,,,,,,,,,,,,,,,,,,,,,
CDEC:MRL,15.5,,,,,,,,,,,,,,,,,,,,,
CDEC:MSK,26.7,,,,,,,,,,,,,,,,,,,,,
CDEC:MTM,22.1,,,,,,,,,,,,,,,,,,,,,
CDEC:PDS,18.6,,,,,,,,,,,,,,,,,,,,,
CDEC:PET,10.2,,,,,,,,,,,,,,,,,,,,,
CDEC:PSC,13.8,,,,,,,,,,,,,,,,,,,,,
CDEC:PSN,13.5,,,,,,,,,,,,,,,,,,,,,
CDEC:QUA,11.4,,,,,,,,,,,,,,,,,,,,,
CDEC:RBP,13.9,,,,,,,,,,,,,,,,,,,,,
CDEC:RCC,27.5,,,,,,,,,,,,,,,,,,,,,
CDEC:RCK,10.2,,,,,,,,,,,,,,,,,,,,,
CDEC:RP2,18.1,,,,,,,,,,,,,,,,,,,,,
CDEC:RRM,14.9,,,,,,,,,,,,,,,,,,,,,
CDEC:RTL,12.6,,,,,,,,,,,,,,,,,,,,,
CDEC:SCN,,,,,,,,,,,,,,,,,,,,,,
CDEC:SCT,3.2,,,,,,,,,,,,,,,,,,,,,
CDEC:SDF,10.9,,,,,,,,,,,,,,,,,,,,,
CDEC:SDW,11.7,,,,,,,,,,,,,,,,,,,,,
CDEC:SHM,11.4,,,,,,,,,,,,,,,,,,,,,
CDEC:SIL,15,,,,,,,,,,,,,,,,,,,,,
CDEC:SLM,17.4,,,,,,,,,,,,,,,,,,,,,
CDEC:SLT,3,,,,,,,,,,,,,,,,,,,,,
CDEC:SPS,11.5,,,,,,,,,,,,,,,,,,,,,
CDEC:SPT,5,,,,,,,,,,,,,,,,,,,,,
CDEC:SQV,21.2,,,,,,,,,,,,,,,,,,,,,
CDEC:SSM,,,,,,,,,,,,,,,,,,,,,,
CDEC:SWM,10.6,,,,,,,,,,,,,,,,,,,,,
CDEC:TCC,11.2,,,,,,,,,,,,,,,,,,,,,
CDEC:TK2,13.5,,,,,,,,,,,,,,,,,,,,,
CDEC:TMR,12.1,,,,,,,,,,,,,,,,,,,,,
CDEC:TNY,17.5,,,,,,,,,,,,,,,,,,,,,
CDEC:TUM,14.1,,,,,,,,,,,,,,,,,,,,,
CDEC:UBC,15.8,,,,,,,,,,,,,,,,,,,,,
CDEC:UTY,11.6,,,,,,,,,,,,,,,,,,,,,
CDEC:VLC,,,,,,,,,,,,,,,,,,,,,,
CDEC:VRG,10.4,,,,,,,,,,,,,,,,,,,,,
CDEC:VVL,24.3,,,,,,,,,,,,,,,,,,,,,
CDEC:WC3,21.6,,,,,,,,,,,,,,,,,,,,,
CDEC:WHW,,,,,,,,,,,,,,,,,,,,,,
CDEC:WTM,10.1,,,,,,,,,,,,,,,,,,,,,
CDEC:WWC,13.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1000_OR_SNTL,16.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1004_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1005_CO_SNTL,6.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1007_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1009_MT_SNTL,5.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1010_OR_SNTL,8.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1011_WA_SNTL,28,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1012_WA_SNTL,46,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1013_UT_SNTL,9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1014_CO_SNTL,6.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1015_WY_SNTL,6.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1016_ID_SNTL,6.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1017_NM_SNTL,7.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1018_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1019_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1020_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1021_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1022_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1023_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1024_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1025_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1027_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1028_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1029_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1030_CO_SNTL,14.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1031_CO_SNTL,15.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1032_CO_SNTL,7.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1033_CO_SNTL,17.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1034_NM_SNTL,1.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1038_ID_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1039_UT_SNTL,7.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1040_CO_SNTL,9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1043_WA_SNTL,6.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1044_OR_SNTL,6.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1045_WY_SNTL,2.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1046_WY_SNTL,12.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1048_NM_SNTL,1.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1050_CA_SNTL,13.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1051_CA_SNTL,15.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1052_CA_SNTL,11.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1053_ID_SNTL,7.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1054_UT_SNTL,10,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1058_CO_SNTL,2.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1061_CO_SNTL,5.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1065_UT_SNTL,10.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1066_UT_SNTL,8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1067_CA_SNTL,17.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1068_WA_SNTL,20.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1077_OR_SNTL,11,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1079_OR_SNTL,23.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1082_WY_SNTL,22.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1084_OR_SNTL,0,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1085_WA_SNTL,36.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1098_UT_SNTL,16.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1099_UT_SNTL,6.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1100_CO_SNTL,7.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1101_CO_SNTL,10.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1104_WA_SNTL,9.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1105_MT_SNTL,3.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1107_WA_SNTL,32.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1109_WA_SNTL,4.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1110_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1111_NV_SNTL,9.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1113_UT_SNTL,8.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1114_UT_SNTL,11.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1115_UT_SNTL,12,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1119_WY_SNTL,20.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1120_CO_SNTL,16,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1121_AZ_SNTL,0.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1122_CO_SNTL,7.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1123_CO_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1124_CO_SNTL,2.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1127_AZ_SNTL,0,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1128_CO_SNTL,4.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1129_WA_SNTL,13.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1131_WY_SNTL,4.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1132_WY_SNTL,0.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1133_WY_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1134_WY_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1135_UT_SNTL,4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1136_NV_SNTL,10,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1138_NM_SNTL,6.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1139_AZ_SNTL,2.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1140_AZ_SNTL,5.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1141_CO_SNTL,10.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1143_AZ_SNTL,6.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1144_MT_SNTL,7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1146_UT_SNTL,5.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1147_NV_SNTL,10,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1148_UT_SNTL,3.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1149_UT_SNTL,6.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1150_NV_SNTL,5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1152_NV_SNTL,6.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1154_UT_SNTL,9.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1155_NV_SNTL,3.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1156_UT_SNTL,4.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1157_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1159_WA_SNTL,5.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1160_CO_SNTL,8.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1161_CO_SNTL,6.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1162_UT_SNTL,6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1166_OR_SNTL,34.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1167_OR_SNTL,7.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1168_NM_SNTL,10.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1169_NM_SNTL,3.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1170_NM_SNTL,3.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1171_WA_SNTL,28.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1172_NM_SNTL,7.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1184_UT_SNTL,5.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1185_CO_SNTL,15.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1186_CO_SNTL,12.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1187_CO_SNTL,14.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1192_UT_SNTL,9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1195_NV_SNTL,5.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1196_WY_SNTL,22.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1197_UT_SNTL,4.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1202_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1203_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1205_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1206_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1209_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1213_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1214_UT_SNTL,4.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1215_UT_SNTL,5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1216_UT_SNTL,13.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1222_UT_SNTL,14.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1223_UT_SNTL,8.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1224_UT_SNTL,16,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1225_UT_SNTL,9.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1226_UT_SNTL,8.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1227_UT_SNTL,6.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1228_UT_SNTL,6.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1231_WA_SNTL,9.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1236_UT_SNTL,6.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1242_NV_SNTL,13.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1243_NV_SNTL,2.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1244_NV_SNTL,5.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1247_UT_SNTL,7.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1248_UT_SNTL,6.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1249_UT_SNTL,9.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1251_CO_SNTL,17.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1252_CO_SNTL,12,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1254_NM_SNTL,5.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1256_WA_SNTL,5.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1257_WA_SNTL,25.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1258_CA_SNTL,3.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1259_WA_SNTL,3.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1261_UT_SNTL,5.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1262_NV_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1263_WA_SNTL,24.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1269_UT_SNTL,4.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1271_AZ_SNTL,8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1272_NV_SNTL,4.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1276_ID_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1277_CA_SNTL,7.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1278_UT_SNTL,8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1280_UT_SNTL,10.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1286_MT_SNTL,20.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:1287_MT_SNTL,8.6,,,,,,,,,,,,,,,,,,,,,
