,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:ADM,9.6,,,,,,,,,,,,,,,,,,,
CDEC:AGP,,,,,,,,,,,,,,,,,,,,
CDEC:ALP,11.2,,,,,,,,,,,,,,,,,,,
CDEC:BCB,19.2,,,,,,,,,,,,,,,,,,,
CDEC:BCH,1.3,,,,,,,,,,,,,,,,,,,
CDEC:BFL,9.8,,,,,,,,,,,,,,,,,,,
CDEC:BGP,12.9,,,,,,,,,,,,,,,,,,,
CDEC:BIM,25.4,,,,,,,,,,,,,,,,,,,
CDEC:BKL,41.5,,,,,,,,,,,,,,,,,,,
CDEC:BLA,6.1,,,,,,,,,,,,,,,,,,,
CDEC:BLC,14.5,,,,,,,,,,,,,,,,,,,
CDEC:BLD,17.6,,,,,,,,,,,,,,,,,,,
CDEC:BLK,16.6,,,,,,,,,,,,,,,,,,,
CDEC:BLS,16.4,,,,,,,,,,,,,,,,,,,
CDEC:BMW,15.7,,,,,,,,,,,,,,,,,,,
CDEC:BNK,13.9,,,,,,,,,,,,,,,,,,,
CDEC:BSK,16.2,,,,,,,,,,,,,,,,,,,
CDEC:CDP,9.8,,,,,,,,,,,,,,,,,,,
CDEC:CHM,20.4,,,,,,,,,,,,,,,,,,,
CDEC:CHP,8.4,,,,,,,,,,,,,,,,,,,
CDEC:CRL,21,,,,,,,,,,,,,,,,,,,
CDEC:CSL,25.7,,,,,,,,,,,,,,,,,,,
CDEC:CSV,11,,,,,,,,,,,,,,,,,,,
CDEC:CWD,8.6,,,,,,,,,,,,,,,,,,,
CDEC:CWF,0.4,,,,,,,,,,,,,,,,,,,
CDEC:CXS,16.7,,,,,,,,,,,,,,,,,,,
CDEC:DAN,13.9,,,,,,,,,,,,,,,,,,,
CDEC:DDM,12.7,,,,,,,,,,,,,,,,,,,
CDEC:DPO,18.4,,,,,,,,,,,,,,,,,,,
CDEC:DSS,19.2,,,,,,,,,,,,,,,,,,,
CDEC:EBB,17.9,,,,,,,,,,,,,,,,,,,
CDEC:EP5,26.4,,,,,,,,,,,,,,,,,,,
CDEC:FDC,20.5,,,,,,,,,,,,,,,,,,,
CDEC:FLL,7.6,,,,,,,,,,,,,,,,,,,
CDEC:FRN,,,,,,,,,,,,,,,,,,,,
CDEC:FRW,,,,,,,,,,,,,,,,,,,,
CDEC:GEM,22.3,,,,,,,,,,,,,,,,,,,
CDEC:GIN,14.2,,,,,,,,,,,,,,,,,,,
CDEC:GKS,15.5,,,,,,,,,,,,,,,,,,,
CDEC:GNF,3.2,,,,,,,,,,,,,,,,,,,
CDEC:GNL,21,,,,,,,,,,,,,,,,,,,
CDEC:GRM,0.9,,,,,,,,,,,,,,,,,,,
CDEC:GRV,18.6,,,,,,,,,,,,,,,,,,,
CDEC:GRZ,19.1,,,,,,,,,,,,,,,,,,,
CDEC:HGM,13.3,,,,,,,,,,,,,,,,,,,
CDEC:HIG,9.5,,,,,,,,,,,,,,,,,,,
CDEC:HMB,22.8,,,,,,,,,,,,,,,,,,,
CDEC:HNT,13,,,,,,,,,,,,,,,,,,,
CDEC:HOR,13.2,,,,,,,,,,,,,,,,,,,
CDEC:HRK,16.1,,,,,,,,,,,,,,,,,,,
CDEC:HRS,,,,,,,,,,,,,,,,,,,,
CDEC:HVN,16,,,,,,,,,,,,,,,,,,,
CDEC:HYS,19.3,,,,,,,,,,,,,,,,,,,
CDEC:IDC,17.7,,,,,,,,,,,,,,,,,,,
CDEC:IDP,33.4,,,,,,,,,,,,,,,,,,,
CDEC:INN,10.4,,,,,,,,,,,,,,,,,,,
CDEC:KTL,4.2,,,,,,,,,,,,,,,,,,,
CDEC:LBD,9.3,,,,,,,,,,,,,,,,,,,
CDEC:LLP,51.6,,,,,,,,,,,,,,,,,,,
CDEC:LVM,11,,,,,,,,,,,,,,,,,,,
CDEC:LVT,37.1,,,,,,,,,,,,,,,,,,,
CDEC:MDW,30.9,,,,,,,,,,,,,,,,,,,
CDEC:MED,13.1,,,,,,,,,,,,,,,,,,,
CDEC:MHP,29,,,,,,,,,,,,,,,,,,,
CDEC:MNT,11.1,,,,,,,,,,,,,,,,,,,
CDEC:MRL,15.7,,,,,,,,,,,,,,,,,,,
CDEC:MSK,27,,,,,,,,,,,,,,,,,,,
CDEC:MTM,22.1,,,,,,,,,,,,,,,,,,,
CDEC:PDS,19.7,,,,,,,,,,,,,,,,,,,
CDEC:PET,8.8,,,,,,,,,,,,,,,,,,,
CDEC:PSC,14.1,,,,,,,,,,,,,,,,,,,
CDEC:PSN,14.1,,,,,,,,,,,,,,,,,,,
CDEC:QUA,11,,,,,,,,,,,,,,,,,,,
CDEC:RBP,12.7,,,,,,,,,,,,,,,,,,,
CDEC:RCC,26.4,,,,,,,,,,,,,,,,,,,
CDEC:RCK,10.5,,,,,,,,,,,,,,,,,,,
CDEC:RP2,18.3,,,,,,,,,,,,,,,,,,,
CDEC:RRM,13.1,,,,,,,,,,,,,,,,,,,
CDEC:RTL,8.6,,,,,,,,,,,,,,,,,,,
CDEC:SCN,,,,,,,,,,,,,,,,,,,,
CDEC:SCT,1.3,,,,,,,,,,,,,,,,,,,
CDEC:SDF,11.9,,,,,,,,,,,,,,,,,,,
CDEC:SDW,11.9,,,,,,,,,,,,,,,,,,,
CDEC:SHM,8.3,,,,,,,,,,,,,,,,,,,
CDEC:SIL,15,,,,,,,,,,,,,,,,,,,
CDEC:SLM,18.3,,,,,,,,,,,,,,,,,,,
CDEC:SLT,3,,,,,,,,,,,,,,,,,,,
CDEC:SPS,11.5,,,,,,,,,,,,,,,,,,,
CDEC:SPT,4.2,,,,,,,,,,,,,,,,,,,
CDEC:SQV,19.8,,,,,,,,,,,,,,,,,,,
CDEC:SSM,,,,,,,,,,,,,,,,,,,,
CDEC:SWM,11.4,,,,,,,,,,,,,,,,,,,
CDEC:TCC,9,,,,,,,,,,,,,,,,,,,
CDEC:TK2,13.6,,,,,,,,,,,,,,,,,,,
CDEC:TMR,11.3,,,,,,,,,,,,,,,,,,,
CDEC:TNY,18,,,,,,,,,,,,,,,,,,,
CDEC:TUM,12.5,,,,,,,,,,,,,,,,,,,
CDEC:UBC,15.4,,,,,,,,,,,,,,,,,,,
CDEC:UTY,11.4,,,,,,,,,,,,,,,,,,,
CDEC:VLC,,,,,,,,,,,,,,,,,,,,
CDEC:VRG,10.2,,,,,,,,,,,,,,,,,,,
CDEC:VVL,22.7,,,,,,,,,,,,,,,,,,,
CDEC:WC3,22.6,,,,,,,,,,,,,,,,,,,
CDEC:WHW,,,,,,,,,,,,,,,,,,,,
CDEC:WTM,6,,,,,,,,,,,,,,,,,,,
CDEC:WWC,13,,,,,,,,,,,,,,,,,,,
SNOTEL:1000_OR_SNTL,16.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1004_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1005_CO_SNTL,6.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1007_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1009_MT_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:1010_OR_SNTL,8.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1011_WA_SNTL,31.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1012_WA_SNTL,48.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1013_UT_SNTL,9.1,,,,,,,,,,,,,,,,,,,
SNOTEL:1014_CO_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1015_WY_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1016_ID_SNTL,6.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1017_NM_SNTL,7.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1018_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1019_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1020_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1021_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1022_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1023_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1024_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1025_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1027_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1028_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1029_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1030_CO_SNTL,15.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1031_CO_SNTL,15.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1032_CO_SNTL,7.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1033_CO_SNTL,18.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1034_NM_SNTL,1.1,,,,,,,,,,,,,,,,,,,
SNOTEL:1038_ID_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1039_UT_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1040_CO_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1043_WA_SNTL,7.1,,,,,,,,,,,,,,,,,,,
SNOTEL:1044_OR_SNTL,6.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1045_WY_SNTL,3.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1046_WY_SNTL,13.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1048_NM_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:1050_CA_SNTL,13.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1051_CA_SNTL,15.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1052_CA_SNTL,12,,,,,,,,,,,,,,,,,,,
SNOTEL:1053_ID_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1054_UT_SNTL,10.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1058_CO_SNTL,1.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1061_CO_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1065_UT_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1066_UT_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1067_CA_SNTL,16.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1068_WA_SNTL,20.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1077_OR_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1079_OR_SNTL,24.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1082_WY_SNTL,23,,,,,,,,,,,,,,,,,,,
SNOTEL:1084_OR_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:1085_WA_SNTL,36.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1098_UT_SNTL,16.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1099_UT_SNTL,6.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1100_CO_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1101_CO_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1104_WA_SNTL,9.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1105_MT_SNTL,3.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1107_WA_SNTL,32.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1109_WA_SNTL,1.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1110_NV_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1111_NV_SNTL,9.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1113_UT_SNTL,8.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1114_UT_SNTL,11.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1115_UT_SNTL,12.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1119_WY_SNTL,21.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1120_CO_SNTL,16.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1121_AZ_SNTL,0.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1122_CO_SNTL,8.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1123_CO_SNTL,12.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1124_CO_SNTL,2.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1127_AZ_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:1128_CO_SNTL,4.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1129_WA_SNTL,11.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1131_WY_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1132_WY_SNTL,1.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1133_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1134_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1135_UT_SNTL,4.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1136_NV_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1138_NM_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1139_AZ_SNTL,2.1,,,,,,,,,,,,,,,,,,,
SNOTEL:1140_AZ_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1141_CO_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1143_AZ_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:1144_MT_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1146_UT_SNTL,5.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1147_NV_SNTL,10.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1148_UT_SNTL,3.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1149_UT_SNTL,6.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1150_NV_SNTL,5.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1152_NV_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1154_UT_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1155_NV_SNTL,3.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1156_UT_SNTL,4.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1157_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1159_WA_SNTL,5.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1160_CO_SNTL,8.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1161_CO_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1162_UT_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1166_OR_SNTL,35.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1167_OR_SNTL,4.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1168_NM_SNTL,10.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1169_NM_SNTL,4,,,,,,,,,,,,,,,,,,,
SNOTEL:1170_NM_SNTL,3.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1171_WA_SNTL,26.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1172_NM_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1184_UT_SNTL,5.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1185_CO_SNTL,15.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1186_CO_SNTL,13.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1187_CO_SNTL,15.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1192_UT_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1195_NV_SNTL,5.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1196_WY_SNTL,23.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1197_UT_SNTL,4.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1202_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1203_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1205_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1206_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1209_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1213_NV_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1214_UT_SNTL,4.6,,,,,,,,,,,,,,,,,,,
SNOTEL:1215_UT_SNTL,5,,,,,,,,,,,,,,,,,,,
SNOTEL:1216_UT_SNTL,13.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1222_UT_SNTL,14.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1223_UT_SNTL,8.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1224_UT_SNTL,16.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1225_UT_SNTL,9.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1226_UT_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1227_UT_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1228_UT_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1231_WA_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1236_UT_SNTL,6.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1242_NV_SNTL,13.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1243_NV_SNTL,0.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1244_NV_SNTL,5.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1247_UT_SNTL,7.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1248_UT_SNTL,6.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1249_UT_SNTL,9.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1251_CO_SNTL,19.1,,,,,,,,,,,,,,,,,,,
SNOTEL:1252_CO_SNTL,12.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1254_NM_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1256_WA_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:1257_WA_SNTL,27.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1258_CA_SNTL,4.2,,,,,,,,,,,,,,,,,,,
SNOTEL:1259_WA_SNTL,3.4,,,,,,,,,,,,,,,,,,,
SNOTEL:1261_UT_SNTL,5.8,,,,,,,,,,,,,,,,,,,
SNOTEL:1262_NV_SNTL,1.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1263_WA_SNTL,24,,,,,,,,,,,,,,,,,,,
SNOTEL:1269_UT_SNTL,4.3,,,,,,,,,,,,,,,,,,,
SNOTEL:1271_AZ_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1272_NV_SNTL,4.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1276_ID_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:1277_CA_SNTL,7.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1278_UT_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:1280_UT_SNTL,10.7,,,,,,,,,,,,,,,,,,,
SNOTEL:1286_MT_SNTL,21.9,,,,,,,,,,,,,,,,,,,
SNOTEL:1287_MT_SNTL,9.1,,,,,,,,,,,,,,,,,,,
SNOTEL:2029_ID_SNTL,5.4,,,,,,,,,,,,,,,,,,,
