,9/24/2022
CDEC:ADM,0
CDEC:AGP,0
CDEC:ALP,0
CDEC:BCB,0
CDEC:BCH,0
CDEC:BFL,0
CDEC:BGP,0
CDEC:BIM,0
CDEC:BKL,0
CDEC:BLA,0
CDEC:BLC,0
CDEC:BLD,0
CDEC:BLK,0
CDEC:BLS,0
CDEC:BMW,0
CDEC:BNK,0
CDEC:BSK,0
CDEC:CDP,0
CDEC:CHM,0
CDEC:CHP,0
CDEC:CRL,0
CDEC:CSL,0
CDEC:CSV,0
CDEC:CWD,0
CDEC:CWF,0
CDEC:CXS,0
CDEC:DAN,0
CDEC:DDM,0
CDEC:DPO,0
CDEC:DSS,0
CDEC:EBB,0
CDEC:EP5,0
CDEC:FDC,0
CDEC:FLL,0
CDEC:FRN,0
CDEC:FRW,0
CDEC:GEM,0
CDEC:GIN,0
CDEC:GKS,0
CDEC:GNF,0
CDEC:GNL,0
CDEC:GRM,0
CDEC:GRV,0
CDEC:GRZ,0
CDEC:HGM,0
CDEC:HIG,0
CDEC:HMB,0
CDEC:HNT,0
CDEC:HOR,0
CDEC:HRK,0
CDEC:HRS,0
CDEC:HVN,0
CDEC:HYS,0
CDEC:IDC,0
CDEC:IDP,0
CDEC:INN,0
CDEC:KTL,0
CDEC:LBD,0
CDEC:LLP,0
CDEC:LVM,0
CDEC:LVT,0
CDEC:MDW,0
CDEC:MED,0
CDEC:MHP,0
CDEC:MNT,0
CDEC:MRL,0
CDEC:MSK,0
CDEC:MTM,0
CDEC:PDS,0
CDEC:PET,0
CDEC:PSC,0
CDEC:PSN,0
CDEC:QUA,0
CDEC:RBP,0
CDEC:RCC,0
CDEC:RCK,0
CDEC:RP2,0
CDEC:RRM,0
CDEC:RTL,0
CDEC:SCN,0
CDEC:SCT,0
CDEC:SDF,0
CDEC:SDW,0
CDEC:SHM,0
CDEC:SIL,0
CDEC:SLM,0
CDEC:SLT,0
CDEC:SPS,0
CDEC:SPT,0
CDEC:SQV,0
CDEC:SSM,0
CDEC:SWM,0
CDEC:TCC,0
CDEC:TK2,0
CDEC:TMR,0
CDEC:TNY,0
CDEC:TUM,0
CDEC:UBC,0
CDEC:UTY,0
CDEC:VLC,0
CDEC:VRG,0
CDEC:VVL,0
CDEC:WC3,0
CDEC:WHW,0
CDEC:WTM,0
CDEC:WWC,0
SNOTEL:1000_OR_SNTL,0
SNOTEL:1004_WA_SNTL,0
SNOTEL:1005_CO_SNTL,0
SNOTEL:1007_OR_SNTL,0
SNOTEL:1009_MT_SNTL,0
SNOTEL:1010_OR_SNTL,0
SNOTEL:1011_WA_SNTL,0
SNOTEL:1012_WA_SNTL,0
SNOTEL:1013_UT_SNTL,0
SNOTEL:1014_CO_SNTL,0
SNOTEL:1015_WY_SNTL,0
SNOTEL:1016_ID_SNTL,0
SNOTEL:1017_NM_SNTL,0
SNOTEL:1018_OR_SNTL,0
SNOTEL:1019_OR_SNTL,0
SNOTEL:1020_OR_SNTL,0
SNOTEL:1021_OR_SNTL,0
SNOTEL:1022_OR_SNTL,0
SNOTEL:1023_OR_SNTL,0
SNOTEL:1024_OR_SNTL,0
SNOTEL:1025_OR_SNTL,0
SNOTEL:1027_OR_SNTL,0
SNOTEL:1028_OR_SNTL,0
SNOTEL:1029_OR_SNTL,0
SNOTEL:1030_CO_SNTL,0
SNOTEL:1031_CO_SNTL,0
SNOTEL:1032_CO_SNTL,0
SNOTEL:1033_CO_SNTL,0
SNOTEL:1034_NM_SNTL,0
SNOTEL:1038_ID_SNTL,0
SNOTEL:1039_UT_SNTL,0
SNOTEL:1040_CO_SNTL,0
SNOTEL:1043_WA_SNTL,0
SNOTEL:1044_OR_SNTL,0
SNOTEL:1045_WY_SNTL,0
SNOTEL:1046_WY_SNTL,0
SNOTEL:1048_NM_SNTL,0
SNOTEL:1050_CA_SNTL,0
SNOTEL:1051_CA_SNTL,0
SNOTEL:1052_CA_SNTL,0
SNOTEL:1053_ID_SNTL,0
SNOTEL:1054_UT_SNTL,0
SNOTEL:1058_CO_SNTL,0
SNOTEL:1061_CO_SNTL,0
SNOTEL:1065_UT_SNTL,0
SNOTEL:1066_UT_SNTL,0
SNOTEL:1067_CA_SNTL,0
SNOTEL:1068_WA_SNTL,0
SNOTEL:1077_OR_SNTL,0
SNOTEL:1079_OR_SNTL,0
SNOTEL:1082_WY_SNTL,0
SNOTEL:1084_OR_SNTL,0
SNOTEL:1085_WA_SNTL,0
SNOTEL:1098_UT_SNTL,0
SNOTEL:1099_UT_SNTL,0
SNOTEL:1100_CO_SNTL,0
SNOTEL:1101_CO_SNTL,0
SNOTEL:1104_WA_SNTL,0
SNOTEL:1105_MT_SNTL,0
SNOTEL:1107_WA_SNTL,0
SNOTEL:1109_WA_SNTL,0
SNOTEL:1110_NV_SNTL,0
SNOTEL:1111_NV_SNTL,0
SNOTEL:1113_UT_SNTL,0
SNOTEL:1114_UT_SNTL,0
SNOTEL:1115_UT_SNTL,0
SNOTEL:1119_WY_SNTL,0
SNOTEL:1120_CO_SNTL,0
SNOTEL:1121_AZ_SNTL,0
SNOTEL:1122_CO_SNTL,0
SNOTEL:1123_CO_SNTL,0
SNOTEL:1124_CO_SNTL,0
SNOTEL:1127_AZ_SNTL,0
SNOTEL:1128_CO_SNTL,0
SNOTEL:1129_WA_SNTL,0
SNOTEL:1131_WY_SNTL,0
SNOTEL:1132_WY_SNTL,0
SNOTEL:1133_WY_SNTL,0
SNOTEL:1134_WY_SNTL,0
SNOTEL:1135_UT_SNTL,0
SNOTEL:1136_NV_SNTL,0
SNOTEL:1138_NM_SNTL,0
SNOTEL:1139_AZ_SNTL,0
SNOTEL:1140_AZ_SNTL,0
SNOTEL:1141_CO_SNTL,0
SNOTEL:1143_AZ_SNTL,0
SNOTEL:1144_MT_SNTL,0
SNOTEL:1146_UT_SNTL,0
SNOTEL:1147_NV_SNTL,0
SNOTEL:1148_UT_SNTL,0
SNOTEL:1149_UT_SNTL,0
SNOTEL:1150_NV_SNTL,0
SNOTEL:1152_NV_SNTL,0
SNOTEL:1154_UT_SNTL,0
SNOTEL:1155_NV_SNTL,0
SNOTEL:1156_UT_SNTL,0
SNOTEL:1157_WA_SNTL,0
SNOTEL:1159_WA_SNTL,0
SNOTEL:1160_CO_SNTL,0
SNOTEL:1161_CO_SNTL,0
SNOTEL:1162_UT_SNTL,0
SNOTEL:1166_OR_SNTL,0
SNOTEL:1167_OR_SNTL,0
SNOTEL:1168_NM_SNTL,0
SNOTEL:1169_NM_SNTL,0
SNOTEL:1170_NM_SNTL,0
SNOTEL:1171_WA_SNTL,0
SNOTEL:1172_NM_SNTL,0
SNOTEL:1184_UT_SNTL,0
SNOTEL:1185_CO_SNTL,0
SNOTEL:1186_CO_SNTL,0
SNOTEL:1187_CO_SNTL,0
SNOTEL:1192_UT_SNTL,0
SNOTEL:1195_NV_SNTL,0
SNOTEL:1196_WY_SNTL,0
SNOTEL:1197_UT_SNTL,0
SNOTEL:1202_NV_SNTL,0
SNOTEL:1203_NV_SNTL,0
SNOTEL:1205_NV_SNTL,0
SNOTEL:1206_NV_SNTL,0
SNOTEL:1209_NV_SNTL,0
SNOTEL:1213_NV_SNTL,0
SNOTEL:1214_UT_SNTL,0
SNOTEL:1215_UT_SNTL,0
SNOTEL:1216_UT_SNTL,0
SNOTEL:1222_UT_SNTL,0
SNOTEL:1223_UT_SNTL,0
SNOTEL:1224_UT_SNTL,0
SNOTEL:1225_UT_SNTL,0
SNOTEL:1226_UT_SNTL,0
SNOTEL:1227_UT_SNTL,0
SNOTEL:1228_UT_SNTL,0
SNOTEL:1231_WA_SNTL,0
SNOTEL:1236_UT_SNTL,0
SNOTEL:1242_NV_SNTL,0
SNOTEL:1243_NV_SNTL,0
SNOTEL:1244_NV_SNTL,0
SNOTEL:1247_UT_SNTL,0
SNOTEL:1248_UT_SNTL,0
SNOTEL:1249_UT_SNTL,0
SNOTEL:1251_CO_SNTL,0
SNOTEL:1252_CO_SNTL,0
SNOTEL:1254_NM_SNTL,0
SNOTEL:1256_WA_SNTL,0
SNOTEL:1257_WA_SNTL,0
SNOTEL:1258_CA_SNTL,0
SNOTEL:1259_WA_SNTL,0
SNOTEL:1261_UT_SNTL,0
SNOTEL:1262_NV_SNTL,0
SNOTEL:1263_WA_SNTL,0
SNOTEL:1269_UT_SNTL,0
SNOTEL:1271_AZ_SNTL,0
SNOTEL:1272_NV_SNTL,0
SNOTEL:1276_ID_SNTL,0
SNOTEL:1277_CA_SNTL,0
SNOTEL:1278_UT_SNTL,0
SNOTEL:1280_UT_SNTL,0
SNOTEL:1286_MT_SNTL,0
SNOTEL:1287_MT_SNTL,0
SNOTEL:2029_ID_SNTL,0
SNOTEL:246_CA_SNTL,0
SNOTEL:247_CO_SNTL,0
SNOTEL:248_CO_SNTL,0
SNOTEL:249_CO_SNTL,0
SNOTEL:250_CO_SNTL,0
SNOTEL:251_ID_SNTL,0
SNOTEL:252_MT_SNTL,0
SNOTEL:253_MT_SNTL,0
SNOTEL:254_MT_SNTL,0
SNOTEL:255_MT_SNTL,0
SNOTEL:256_MT_SNTL,0
SNOTEL:257_NV_SNTL,0
SNOTEL:258_NV_SNTL,0
SNOTEL:259_OR_SNTL,0
SNOTEL:261_UT_SNTL,0
SNOTEL:262_WA_SNTL,0
SNOTEL:263_WA_SNTL,0
SNOTEL:264_WA_SNTL,0
SNOTEL:266_WY_SNTL,0
SNOTEL:267_WY_SNTL,0
SNOTEL:268_WY_SNTL,0
SNOTEL:269_WY_SNTL,0
SNOTEL:301_CA_SNTL,0
SNOTEL:302_OR_SNTL,0
SNOTEL:303_CO_SNTL,0
SNOTEL:304_OR_SNTL,0
SNOTEL:305_CO_SNTL,0
SNOTEL:306_ID_SNTL,0
SNOTEL:308_AZ_SNTL,0
SNOTEL:311_MT_SNTL,0
SNOTEL:312_ID_SNTL,0
SNOTEL:313_MT_SNTL,0
SNOTEL:316_NM_SNTL,0
SNOTEL:317_WY_SNTL,0
SNOTEL:319_ID_SNTL,0
SNOTEL:320_ID_SNTL,0
SNOTEL:321_NV_SNTL,0
SNOTEL:322_CO_SNTL,0
SNOTEL:324_ID_SNTL,0
SNOTEL:325_WY_SNTL,0
SNOTEL:326_WY_SNTL,0
SNOTEL:327_CO_SNTL,0
SNOTEL:328_MT_SNTL,0
SNOTEL:329_UT_SNTL,0
SNOTEL:330_UT_SNTL,0
SNOTEL:331_OR_SNTL,0
SNOTEL:332_UT_SNTL,0
SNOTEL:333_UT_SNTL,0
SNOTEL:334_NV_SNTL,0
SNOTEL:335_CO_SNTL,0
SNOTEL:336_NV_SNTL,0
SNOTEL:337_NV_SNTL,0
SNOTEL:338_ID_SNTL,0
SNOTEL:339_UT_SNTL,0
SNOTEL:340_NV_SNTL,0
SNOTEL:341_OR_SNTL,0
SNOTEL:342_WY_SNTL,0
SNOTEL:344_OR_SNTL,0
SNOTEL:345_CO_SNTL,0
SNOTEL:346_MT_SNTL,0
SNOTEL:347_MT_SNTL,0
SNOTEL:348_UT_SNTL,0
SNOTEL:349_MT_SNTL,0
SNOTEL:350_WY_SNTL,0
SNOTEL:354_SD_SNTL,0
SNOTEL:355_MT_SNTL,0
SNOTEL:356_CA_SNTL,0
SNOTEL:358_WY_SNTL,0
SNOTEL:360_MT_SNTL,0
SNOTEL:363_MT_SNTL,0
SNOTEL:364_UT_SNTL,0
SNOTEL:365_MT_SNTL,0
SNOTEL:366_UT_SNTL,0
SNOTEL:368_UT_SNTL,0
SNOTEL:370_ID_SNTL,0
SNOTEL:372_AZ_SNTL,0
SNOTEL:373_NV_SNTL,0
SNOTEL:375_WA_SNTL,0
SNOTEL:376_WA_SNTL,0
SNOTEL:377_WY_SNTL,0
SNOTEL:379_WY_SNTL,0
SNOTEL:380_CO_SNTL,0
SNOTEL:381_MT_SNTL,0
SNOTEL:385_MT_SNTL,0
SNOTEL:386_CO_SNTL,0
SNOTEL:387_CO_SNTL,0
SNOTEL:388_OR_SNTL,0
SNOTEL:389_WY_SNTL,0
SNOTEL:390_UT_SNTL,0
SNOTEL:392_UT_SNTL,0
SNOTEL:393_UT_SNTL,0
SNOTEL:396_UT_SNTL,0
SNOTEL:397_WY_SNTL,0
SNOTEL:398_OR_SNTL,0
SNOTEL:399_UT_SNTL,0
SNOTEL:401_OR_SNTL,0
SNOTEL:402_WY_SNTL,0
SNOTEL:403_MT_SNTL,0
SNOTEL:406_OR_SNTL,0
SNOTEL:407_MT_SNTL,0
SNOTEL:409_CO_SNTL,0
SNOTEL:410_MT_SNTL,0
SNOTEL:411_ID_SNTL,0
SNOTEL:412_CO_SNTL,0
SNOTEL:413_MT_SNTL,0
SNOTEL:414_MT_SNTL,0
SNOTEL:415_CO_SNTL,0
SNOTEL:416_AZ_SNTL,0
SNOTEL:417_NV_SNTL,0
SNOTEL:418_WA_SNTL,0
SNOTEL:419_WY_SNTL,0
SNOTEL:420_WA_SNTL,0
SNOTEL:421_WY_SNTL,0
SNOTEL:422_OR_SNTL,0
SNOTEL:423_ID_SNTL,0
SNOTEL:424_ID_SNTL,0
SNOTEL:426_CO_SNTL,0
SNOTEL:428_CA_SNTL,0
SNOTEL:430_CO_SNTL,0
SNOTEL:431_CO_SNTL,0
SNOTEL:432_UT_SNTL,0
SNOTEL:433_MT_SNTL,0
SNOTEL:434_OR_SNTL,0
SNOTEL:436_MT_SNTL,0
SNOTEL:437_MT_SNTL,0
SNOTEL:438_CO_SNTL,0
SNOTEL:439_ID_SNTL,0
SNOTEL:441_UT_SNTL,0
SNOTEL:444_UT_SNTL,0
SNOTEL:448_MT_SNTL,0
SNOTEL:449_WY_SNTL,0
SNOTEL:450_ID_SNTL,0
SNOTEL:451_WY_SNTL,0
SNOTEL:452_UT_SNTL,0
SNOTEL:455_UT_SNTL,0
SNOTEL:457_CO_SNTL,0
SNOTEL:458_MT_SNTL,0
SNOTEL:460_WY_SNTL,0
SNOTEL:462_CA_SNTL,0
SNOTEL:463_CA_SNTL,0
SNOTEL:464_OR_SNTL,0
SNOTEL:465_CO_SNTL,0
SNOTEL:466_ID_SNTL,0
SNOTEL:467_CO_SNTL,0
SNOTEL:470_OR_SNTL,0
SNOTEL:472_WY_SNTL,0
SNOTEL:474_UT_SNTL,0
SNOTEL:475_UT_SNTL,0
SNOTEL:476_NV_SNTL,0
SNOTEL:477_OR_SNTL,0
SNOTEL:478_WA_SNTL,0
SNOTEL:480_MT_SNTL,0
SNOTEL:481_UT_SNTL,0
SNOTEL:482_MT_SNTL,0
SNOTEL:483_OR_SNTL,0
SNOTEL:484_ID_SNTL,0
SNOTEL:485_CO_SNTL,0
SNOTEL:486_NM_SNTL,0
SNOTEL:487_MT_SNTL,0
SNOTEL:488_AZ_SNTL,0
SNOTEL:489_ID_SNTL,0
SNOTEL:490_ID_SNTL,0
SNOTEL:491_NM_SNTL,0
SNOTEL:493_ID_SNTL,0
SNOTEL:494_OR_SNTL,0
SNOTEL:495_UT_SNTL,0
SNOTEL:497_WY_SNTL,0
SNOTEL:498_NV_SNTL,0
SNOTEL:499_WY_SNTL,0
SNOTEL:500_MT_SNTL,0
SNOTEL:503_NV_SNTL,0
SNOTEL:505_CO_SNTL,0
SNOTEL:507_WA_SNTL,0
SNOTEL:508_CA_SNTL,0
SNOTEL:509_WY_SNTL,0
SNOTEL:510_MT_SNTL,0
SNOTEL:512_WY_SNTL,0
SNOTEL:514_UT_SNTL,0
SNOTEL:519_AZ_SNTL,0
SNOTEL:520_ID_SNTL,0
SNOTEL:521_UT_SNTL,0
SNOTEL:522_UT_SNTL,0
SNOTEL:523_OR_SNTL,0
SNOTEL:524_ID_SNTL,0
SNOTEL:525_WY_SNTL,0
SNOTEL:526_OR_SNTL,0
SNOTEL:528_UT_SNTL,0
SNOTEL:529_OR_SNTL,0
SNOTEL:530_MT_SNTL,0
SNOTEL:531_CO_SNTL,0
SNOTEL:532_NM_SNTL,0
SNOTEL:533_UT_SNTL,0
SNOTEL:535_ID_SNTL,0
SNOTEL:540_CA_SNTL,0
SNOTEL:541_CA_SNTL,0
SNOTEL:542_CO_SNTL,0
SNOTEL:543_UT_SNTL,0
SNOTEL:548_NV_SNTL,0
SNOTEL:549_NV_SNTL,0
SNOTEL:550_ID_SNTL,0
SNOTEL:552_OR_SNTL,0
SNOTEL:553_WA_SNTL,0
SNOTEL:554_WY_SNTL,0
SNOTEL:555_WY_SNTL,0
SNOTEL:556_CO_SNTL,0
SNOTEL:558_OR_SNTL,0
SNOTEL:559_UT_SNTL,0
SNOTEL:560_WY_SNTL,0
SNOTEL:562_MT_SNTL,0
SNOTEL:563_OR_SNTL,0
SNOTEL:564_CO_SNTL,0
SNOTEL:565_CO_SNTL,0
SNOTEL:566_UT_SNTL,0
SNOTEL:568_MT_SNTL,0
SNOTEL:569_NV_SNTL,0
SNOTEL:570_NV_SNTL,0
SNOTEL:571_WY_SNTL,0
SNOTEL:572_UT_SNTL,0
SNOTEL:575_CA_SNTL,0
SNOTEL:576_MT_SNTL,0
SNOTEL:577_WY_SNTL,0
SNOTEL:579_UT_SNTL,0
SNOTEL:580_CO_SNTL,0
SNOTEL:582_UT_SNTL,0
SNOTEL:583_UT_SNTL,0
SNOTEL:585_WY_SNTL,0
SNOTEL:587_CA_SNTL,0
SNOTEL:588_ID_SNTL,0
SNOTEL:589_CO_SNTL,0
SNOTEL:590_MT_SNTL,0
SNOTEL:591_WA_SNTL,0
SNOTEL:592_UT_SNTL,0
SNOTEL:593_UT_SNTL,0
SNOTEL:596_UT_SNTL,0
SNOTEL:597_WY_SNTL,0
SNOTEL:598_WY_SNTL,0
SNOTEL:600_ID_SNTL,0
SNOTEL:603_MT_SNTL,0
SNOTEL:604_MT_SNTL,0
SNOTEL:605_OR_SNTL,0
SNOTEL:606_WA_SNTL,0
SNOTEL:607_CO_SNTL,0
SNOTEL:610_ID_SNTL,0
SNOTEL:611_SD_SNTL,0
SNOTEL:612_UT_SNTL,0
SNOTEL:613_MT_SNTL,0
SNOTEL:614_OR_SNTL,0
SNOTEL:615_NV_SNTL,0
SNOTEL:616_WY_SNTL,0
SNOTEL:617_AZ_SNTL,0
SNOTEL:619_OR_SNTL,0
SNOTEL:620_ID_SNTL,0
SNOTEL:621_UT_SNTL,0
SNOTEL:622_CO_SNTL,0
SNOTEL:623_ID_SNTL,0
SNOTEL:625_WY_SNTL,0
SNOTEL:626_UT_SNTL,0
SNOTEL:627_ID_SNTL,0
SNOTEL:628_UT_SNTL,0
SNOTEL:629_CO_SNTL,0
SNOTEL:630_WA_SNTL,0
SNOTEL:633_CA_SNTL,0
SNOTEL:637_ID_SNTL,0
SNOTEL:640_AZ_SNTL,0
SNOTEL:642_WA_SNTL,0
SNOTEL:643_UT_SNTL,0
SNOTEL:644_WA_SNTL,0
SNOTEL:645_ID_SNTL,0
SNOTEL:646_MT_SNTL,0
SNOTEL:647_OR_SNTL,0
SNOTEL:648_WA_SNTL,0
SNOTEL:649_MT_SNTL,0
SNOTEL:650_ID_SNTL,0
SNOTEL:651_OR_SNTL,0
SNOTEL:652_NV_SNTL,0
SNOTEL:654_ID_SNTL,0
SNOTEL:655_OR_SNTL,0
SNOTEL:657_MT_SNTL,0
SNOTEL:658_CO_SNTL,0
SNOTEL:659_MT_SNTL,0
SNOTEL:661_WY_SNTL,0
SNOTEL:662_MT_SNTL,0
SNOTEL:663_CO_SNTL,0
SNOTEL:664_MT_SNTL,0
SNOTEL:665_NM_SNTL,0
SNOTEL:666_OR_SNTL,0
SNOTEL:667_MT_SNTL,0
SNOTEL:669_CO_SNTL,0
SNOTEL:670_MT_SNTL,0
SNOTEL:671_OR_SNTL,0
SNOTEL:672_WA_SNTL,0
SNOTEL:673_WY_SNTL,0
SNOTEL:676_WY_SNTL,0
SNOTEL:677_ID_SNTL,0
SNOTEL:678_NM_SNTL,0
SNOTEL:680_CO_SNTL,0
SNOTEL:681_WA_SNTL,0
SNOTEL:682_CO_SNTL,0
SNOTEL:683_WY_SNTL,0
SNOTEL:684_UT_SNTL,0
SNOTEL:685_CO_SNTL,0
SNOTEL:686_UT_SNTL,0
SNOTEL:689_WY_SNTL,0
SNOTEL:690_MT_SNTL,0
SNOTEL:691_UT_SNTL,0
SNOTEL:693_MT_SNTL,0
SNOTEL:694_UT_SNTL,0
SNOTEL:696_MT_SNTL,0
SNOTEL:698_NV_SNTL,0
SNOTEL:699_WA_SNTL,0
SNOTEL:700_MT_SNTL,0
SNOTEL:702_WA_SNTL,0
SNOTEL:704_ID_SNTL,0
SNOTEL:706_OR_SNTL,0
SNOTEL:708_NM_SNTL,0
SNOTEL:709_CO_SNTL,0
SNOTEL:710_OR_SNTL,0
SNOTEL:712_OR_SNTL,0
SNOTEL:713_CO_SNTL,0
SNOTEL:714_UT_SNTL,0
SNOTEL:715_NM_SNTL,0
SNOTEL:717_CO_SNTL,0
SNOTEL:718_CO_SNTL,0
SNOTEL:720_UT_SNTL,0
SNOTEL:723_UT_SNTL,0
SNOTEL:724_CA_SNTL,0
SNOTEL:726_OR_SNTL,0
SNOTEL:727_MT_SNTL,0
SNOTEL:728_WA_SNTL,0
SNOTEL:729_OR_SNTL,0
SNOTEL:730_WY_SNTL,0
SNOTEL:731_WY_SNTL,0
SNOTEL:732_WY_SNTL,0
SNOTEL:733_OR_SNTL,0
SNOTEL:734_WA_SNTL,0
SNOTEL:735_ID_SNTL,0
SNOTEL:736_OR_SNTL,0
SNOTEL:738_ID_SNTL,0
SNOTEL:739_CO_SNTL,0
SNOTEL:741_ID_SNTL,0
SNOTEL:742_UT_SNTL,0
SNOTEL:743_OR_SNTL,0
SNOTEL:744_NM_SNTL,0
SNOTEL:745_OR_SNTL,0
SNOTEL:746_NV_SNTL,0
SNOTEL:747_ID_SNTL,0
SNOTEL:748_WA_SNTL,0
SNOTEL:749_ID_SNTL,0
SNOTEL:751_WY_SNTL,0
SNOTEL:752_ID_SNTL,0
SNOTEL:754_MT_SNTL,0
SNOTEL:755_NM_SNTL,0
SNOTEL:756_OR_SNTL,0
SNOTEL:757_NM_SNTL,0
SNOTEL:758_MT_SNTL,0
SNOTEL:761_ID_SNTL,0
SNOTEL:762_CO_SNTL,0
SNOTEL:763_UT_SNTL,0
SNOTEL:764_WY_SNTL,0
SNOTEL:765_WY_SNTL,0
SNOTEL:767_OR_SNTL,0
SNOTEL:770_ID_SNTL,0
SNOTEL:771_CA_SNTL,0
SNOTEL:773_CO_SNTL,0
SNOTEL:777_WA_SNTL,0
SNOTEL:778_CA_SNTL,0
SNOTEL:779_WY_SNTL,0
SNOTEL:780_CO_SNTL,0
SNOTEL:781_MT_SNTL,0
SNOTEL:782_ID_SNTL,0
SNOTEL:784_CA_SNTL,0
SNOTEL:786_WY_SNTL,0
SNOTEL:787_MT_SNTL,0
SNOTEL:790_UT_SNTL,0
SNOTEL:791_WA_SNTL,0
SNOTEL:792_ID_SNTL,0
SNOTEL:793_CO_SNTL,0
SNOTEL:794_OR_SNTL,0
SNOTEL:795_UT_SNTL,0
SNOTEL:797_CO_SNTL,0
SNOTEL:798_WY_SNTL,0
SNOTEL:799_AZ_SNTL,0
SNOTEL:8011_WY_SNTL,0
SNOTEL:801_OR_SNTL,0
SNOTEL:803_ID_SNTL,0
SNOTEL:804_WA_SNTL,0
SNOTEL:805_ID_SNTL,0
SNOTEL:806_WY_SNTL,0
SNOTEL:8082_UT_SNTL,0
SNOTEL:809_CA_SNTL,0
SNOTEL:810_OR_SNTL,0
SNOTEL:811_NV_SNTL,0
SNOTEL:812_OR_SNTL,0
SNOTEL:814_UT_SNTL,0
SNOTEL:815_OR_SNTL,0
SNOTEL:816_WY_SNTL,0
SNOTEL:817_WA_SNTL,0
SNOTEL:818_WY_SNTL,0
SNOTEL:819_WY_SNTL,0
SNOTEL:820_UT_SNTL,0
SNOTEL:822_WY_SNTL,0
SNOTEL:823_UT_SNTL,0
SNOTEL:824_WA_SNTL,0
SNOTEL:825_CO_SNTL,0
SNOTEL:826_WY_SNTL,0
SNOTEL:827_CO_SNTL,0
SNOTEL:830_ID_SNTL,0
SNOTEL:831_WY_SNTL,0
SNOTEL:832_WA_SNTL,0
SNOTEL:833_UT_SNTL,0
SNOTEL:834_CA_SNTL,0
SNOTEL:835_MT_SNTL,0
SNOTEL:837_WY_SNTL,0
SNOTEL:838_CO_SNTL,0
SNOTEL:839_CO_SNTL,0
SNOTEL:840_CO_SNTL,0
SNOTEL:841_WA_SNTL,0
SNOTEL:842_CO_SNTL,0
SNOTEL:844_UT_SNTL,0
SNOTEL:845_ID_SNTL,0
SNOTEL:847_MT_SNTL,0
SNOTEL:848_CA_SNTL,0
SNOTEL:849_NV_SNTL,0
SNOTEL:850_MT_SNTL,0
SNOTEL:851_WY_SNTL,0
SNOTEL:852_WY_SNTL,0
SNOTEL:854_NM_SNTL,0
SNOTEL:855_ID_SNTL,0
SNOTEL:857_CO_SNTL,0
SNOTEL:858_MT_SNTL,0
SNOTEL:859_WY_SNTL,0
SNOTEL:861_AZ_SNTL,0
SNOTEL:862_MT_SNTL,0
SNOTEL:863_WA_SNTL,0
SNOTEL:864_UT_SNTL,0
SNOTEL:865_UT_SNTL,0
SNOTEL:868_WY_SNTL,0
SNOTEL:869_CO_SNTL,0
SNOTEL:871_ID_SNTL,0
SNOTEL:872_WY_SNTL,0
SNOTEL:873_OR_SNTL,0
SNOTEL:874_CO_SNTL,0
SNOTEL:876_MT_SNTL,0
SNOTEL:877_AZ_SNTL,0
SNOTEL:878_WY_SNTL,0
SNOTEL:895_ID_SNTL,0
SNOTEL:896_UT_SNTL,0
SNOTEL:897_WA_SNTL,0
SNOTEL:899_WA_SNTL,0
SNOTEL:901_MT_SNTL,0
SNOTEL:902_AZ_SNTL,0
SNOTEL:904_CO_SNTL,0
SNOTEL:905_CO_SNTL,0
SNOTEL:906_UT_SNTL,0
SNOTEL:907_UT_SNTL,0
SNOTEL:909_WA_SNTL,0
SNOTEL:911_WA_SNTL,0
SNOTEL:912_WA_SNTL,0
SNOTEL:913_CO_SNTL,0
SNOTEL:915_ID_SNTL,0
SNOTEL:917_MT_SNTL,0
SNOTEL:918_MT_SNTL,0
SNOTEL:919_MT_SNTL,0
SNOTEL:920_SD_SNTL,0
SNOTEL:921_NM_SNTL,0
SNOTEL:922_NM_SNTL,0
SNOTEL:923_WY_SNTL,0
SNOTEL:924_MT_SNTL,0
SNOTEL:925_OR_SNTL,0
SNOTEL:926_ID_SNTL,0
SNOTEL:927_AZ_SNTL,0
SNOTEL:929_MT_SNTL,0
SNOTEL:930_MT_SNTL,0
SNOTEL:935_CO_SNTL,0
SNOTEL:936_CO_SNTL,0
SNOTEL:937_CO_SNTL,0
SNOTEL:939_CO_SNTL,0
SNOTEL:941_WA_SNTL,0
SNOTEL:942_WA_SNTL,0
SNOTEL:945_OR_SNTL,0
SNOTEL:972_UT_SNTL,0
SNOTEL:974_WA_SNTL,0
SNOTEL:975_WA_SNTL,0
SNOTEL:976_OR_SNTL,0
SNOTEL:978_ID_SNTL,0
SNOTEL:981_MT_SNTL,0
SNOTEL:982_WY_SNTL,0
SNOTEL:984_WA_SNTL,0
SNOTEL:988_ID_SNTL,0
SNOTEL:989_ID_SNTL,0
SNOTEL:990_WA_SNTL,0
SNOTEL:991_WA_SNTL,0
SNOTEL:992_UT_SNTL,0
SNOTEL:994_WA_SNTL,0
SNOTEL:995_WA_SNTL,0
SNOTEL:996_WA_SNTL,0
SNOTEL:998_WA_SNTL,0
SNOTEL:999_WA_SNTL,0
